,자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
150,SPB-23976,2019.11.4 18:00,129,신촌역(2호선) 6번출구 옆,9,2019.11.4 18:27,101,(구)합정동 주민센터,3,25,3350
151,SPB-05001,2019.11.4 18:23,102,망원역 1번출구 앞,19,2019.11.4 18:30,101,(구)합정동 주민센터,2,6,1180
152,SPB-12291,2019.11.4 18:10,409,누리꿈스퀘어 옆,1,2019.11.4 18:34,101,(구)합정동 주민센터,4,23,4660
153,SPB-02431,2019.11.4 18:18,148,용강동 주민센터 앞,1,2019.11.4 18:45,101,(구)합정동 주민센터,1,27,5510
154,SPB-08458,2019.11.4 18:44,108,서교동 사거리,5,2019.11.4 19:03,101,(구)합정동 주민센터,2,18,2100
155,SPB-13180,2019.11.4 18:45,108,서교동 사거리,4,2019.11.4 19:03,101,(구)합정동 주민센터,1,17,1590
156,SPB-22308,2019.11.4 19:39,106,합정역 7번출구 앞,8,2019.11.4 19:46,101,(구)합정동 주민센터,4,6,910
157,SPB-23976,2019.11.4 19:15,101,(구)합정동 주민센터,3,2019.11.4 19:46,101,(구)합정동 주민센터,3,30,2120
158,SPB-04641,2019.11.4 19:52,105,합정역 5번출구 앞,2,2019.11.4 19:59,101,(구)합정동 주민센터,3,6,1020
159,SPB-14959,2019.11.4 19:55,151,망원1동주민센터,4,2019.11.4 20:54,101,(구)합정동 주민센터,2,57,5200
160,SPB-16645,2019.11.4 21:07,826,서울역 서부교차로2,18,2019.11.4 21:33,101,(구)합정동 주민센터,2,26,6850
161,SPB-04641,2019.11.4 21:33,101,(구)합정동 주민센터,3,2019.11.4 21:42,101,(구)합정동 주민센터,1,8,0
162,SPB-12220,2019.11.4 21:41,432,마포중앙도서관,1,2019.11.4 21:52,101,(구)합정동 주민센터,3,9,1840
163,SPB-13543,2019.11.4 21:19,121,마포소방서 앞,14,2019.11.4 22:06,101,(구)합정동 주민센터,1,47,3430
164,SPB-06676,2019.11.4 22:04,151,망원1동주민센터,5,2019.11.4 22:12,101,(구)합정동 주민센터,1,6,1040
165,SPB-23824,2019.11.4 22:18,104,합정역 1번출구 앞,2,2019.11.4 22:23,101,(구)합정동 주민센터,5,5,780
166,SPB-24084,2019.11.4 22:23,103,망원역 2번출구 앞,4,2019.11.4 22:40,101,(구)합정동 주민센터,1,15,750
167,SPB-11840,2019.11.4 22:40,104,합정역 1번출구 앞,7,2019.11.4 22:47,101,(구)합정동 주민센터,5,7,870
168,SPB-08884,2019.11.4 22:40,104,합정역 1번출구 앞,1,2019.11.4 22:47,101,(구)합정동 주민센터,1,7,1120
169,SPB-22099,2019.11.4 22:33,128,신촌역(2호선) 1번출구 옆,6,2019.11.4 22:52,101,(구)합정동 주민센터,3,18,3010
170,SPB-22641,2019.11.4 22:26,391,정동길입구,5,2019.11.4 23:10,101,(구)합정동 주민센터,2,43,6340
171,SPB-09543,2019.11.4 23:32,102,망원역 1번출구 앞,8,2019.11.4 23:42,101,(구)합정동 주민센터,1,9,1140
172,SPB-14426,2019.11.5 00:08,109,제일빌딩 앞,10,2019.11.5 00:16,101,(구)합정동 주민센터,1,7,1410
173,SPB-06938,2019.11.5 00:37,306,광화문역 7번출구 앞,4,2019.11.5 01:11,101,(구)합정동 주민센터,4,34,8160
174,SPB-07062,2019.11.5 01:21,151,망원1동주민센터,10,2019.11.5 01:27,101,(구)합정동 주민센터,3,5,1050
175,SPB-12641,2019.11.5 01:34,102,망원역 1번출구 앞,12,2019.11.5 01:41,101,(구)합정동 주민센터,3,6,1110
176,SPB-23475,2019.11.5 01:49,103,망원역 2번출구 앞,13,2019.11.5 01:55,101,(구)합정동 주민센터,1,5,740
177,SPB-22450,2019.11.5 02:06,106,합정역 7번출구 앞,4,2019.11.5 02:11,101,(구)합정동 주민센터,3,5,480
178,SPB-13900,2019.11.5 09:16,103,망원역 2번출구 앞,6,2019.11.5 09:23,101,(구)합정동 주민센터,2,6,1060
179,SPB-14571,2019.11.5 09:09,438,성산2-1 공영주차장,2,2019.11.5 09:27,101,(구)합정동 주민센터,5,17,3880
180,SPB-14571,2019.11.5 09:52,104,합정역 1번출구 앞,2,2019.11.5 09:57,101,(구)합정동 주민센터,1,5,1130
181,SPB-13900,2019.11.5 09:43,101,(구)합정동 주민센터,2,2019.11.5 10:27,101,(구)합정동 주민센터,1,43,4810
182,SPB-02659,2019.11.5 11:44,113,홍대입구역 2번출구 앞,25,2019.11.5 11:57,101,(구)합정동 주민센터,1,12,1770
183,SPB-14784,2019.11.5 13:02,152,마포구민체육센터 앞,21,2019.11.5 13:19,101,(구)합정동 주민센터,5,17,1790
184,SPB-06274,2019.11.5 12:54,102,망원역 1번출구 앞,15,2019.11.5 13:26,101,(구)합정동 주민센터,4,32,2440
185,SPB-20864,2019.11.5 13:18,111,상수역 2번출구 앞,10,2019.11.5 13:36,101,(구)합정동 주민센터,1,16,3680
186,SPB-14919,2019.11.5 12:53,181,망원초록길 입구,6,2019.11.5 13:46,101,(구)합정동 주민센터,1,52,3780
187,SPB-05318,2019.11.5 13:35,427,성산시영아파트,2,2019.11.5 13:51,101,(구)합정동 주민센터,3,15,3210
188,SPB-06770,2019.11.5 13:32,125,서강대 남문 옆,6,2019.11.5 13:53,101,(구)합정동 주민센터,1,21,3570
189,SPB-12842,2019.11.5 15:30,113,홍대입구역 2번출구 앞,22,2019.11.5 15:50,101,(구)합정동 주민센터,4,18,1860
190,SPB-12842,2019.11.5 15:56,101,(구)합정동 주민센터,4,2019.11.5 16:03,101,(구)합정동 주민센터,2,6,700
191,SPB-03622,2019.11.5 16:35,152,마포구민체육센터 앞,6,2019.11.5 16:43,101,(구)합정동 주민센터,4,7,1160
192,SPB-18327,2019.11.5 16:49,196,연희교차로 인근,8,2019.11.5 17:13,101,(구)합정동 주민센터,5,22,4140
193,SPB-14886,2019.11.5 18:07,104,합정역 1번출구 앞,2,2019.11.5 18:16,101,(구)합정동 주민센터,3,8,1080
194,SPB-21192,2019.11.5 17:54,203,국회의사당역 3번출구 옆,2,2019.11.5 18:18,101,(구)합정동 주민센터,2,22,3940
195,SPB-20543,2019.11.5 18:07,409,누리꿈스퀘어 옆,4,2019.11.5 18:32,101,(구)합정동 주민센터,2,24,4220
196,SPB-20995,2019.11.5 18:13,148,용강동 주민센터 앞,2,2019.11.5 18:41,101,(구)합정동 주민센터,1,27,4560
197,SPB-23690,2019.11.5 18:41,247,당산역 10번출구 앞,9,2019.11.5 18:59,101,(구)합정동 주민센터,5,17,2930
198,SPB-25430,2019.11.5 18:14,224,롯데캐슬 앞,17,2019.11.5 19:06,101,(구)합정동 주민센터,4,49,7260
199,SPB-05808,2019.11.5 19:11,410,상암중학교 옆,3,2019.11.5 19:32,101,(구)합정동 주민센터,2,20,5500
